time_a,time_b,indice_forca_a,indice_forca_b,gols_esperados_a,gols_esperados_b,sede_a,sede_b,prob_vitoria_a,prob_empate,prob_vitoria_b,placar_provavel,prob_placar,top5_placares,gerado_em,grupo
Estados Unidos,Australia,65.5,52.7,1.6829,1.1766,True,False,49.1,24.1,26.7,1 x 1,11.3,"[{'placar': '1 x 1', 'probabilidade': 11.3}, {'placar': '1 x 0', 'probabilidade': 9.6}, {'placar': '2 x 1', 'probabilidade': 9.5}, {'placar': '2 x 0', 'probabilidade': 8.1}, {'placar': '0 x 1', 'probabilidade': 6.7}]",2026-05-11 08:32:34,D
Estados Unidos,Turquia,65.5,66.6,1.5057,1.3307,True,False,41.4,25.0,33.6,1 x 1,11.7,"[{'placar': '1 x 1', 'probabilidade': 11.7}, {'placar': '2 x 1', 'probabilidade': 8.8}, {'placar': '1 x 0', 'probabilidade': 8.8}, {'placar': '1 x 2', 'probabilidade': 7.8}, {'placar': '0 x 1', 'probabilidade': 7.8}]",2026-05-11 08:32:34,D
Paraguai,Australia,57.8,52.7,1.3807,1.2593,False,False,39.8,26.1,34.1,1 x 1,12.4,"[{'placar': '1 x 1', 'probabilidade': 12.4}, {'placar': '1 x 0', 'probabilidade': 9.9}, {'placar': '0 x 1', 'probabilidade': 9.0}, {'placar': '2 x 1', 'probabilidade': 8.6}, {'placar': '1 x 2', 'probabilidade': 7.8}]",2026-05-11 08:32:34,D
Paraguai,Turquia,57.8,66.6,1.2263,1.4137,False,False,32.6,26.0,41.3,1 x 1,12.4,"[{'placar': '1 x 1', 'probabilidade': 12.4}, {'placar': '0 x 1', 'probabilidade': 10.1}, {'placar': '1 x 0', 'probabilidade': 8.8}, {'placar': '1 x 2', 'probabilidade': 8.7}, {'placar': '2 x 1', 'probabilidade': 7.6}]",2026-05-11 08:32:34,D
Australia,Turquia,52.7,66.6,1.166,1.474,False,False,30.0,25.8,44.2,1 x 1,12.3,"[{'placar': '1 x 1', 'probabilidade': 12.3}, {'placar': '0 x 1', 'probabilidade': 10.5}, {'placar': '1 x 2', 'probabilidade': 9.0}, {'placar': '1 x 0', 'probabilidade': 8.3}, {'placar': '0 x 2', 'probabilidade': 7.8}]",2026-05-11 08:32:34,D
Alemanha,Curacao,80.0,0.0,2.64,0.0,False,False,92.7,7.3,0.0,2 x 0,24.9,"[{'placar': '2 x 0', 'probabilidade': 24.9}, {'placar': '3 x 0', 'probabilidade': 21.9}, {'placar': '1 x 0', 'probabilidade': 18.8}, {'placar': '4 x 0', 'probabilidade': 14.4}, {'placar': '5 x 0', 'probabilidade': 7.6}]",2026-05-11 08:32:34,E
Alemanha,Costa do Marfim,80.0,31.8,1.8884,0.7516,False,False,64.2,21.6,14.2,1 x 0,13.5,"[{'placar': '1 x 0', 'probabilidade': 13.5}, {'placar': '2 x 0', 'probabilidade': 12.7}, {'placar': '1 x 1', 'probabilidade': 10.1}, {'placar': '2 x 1', 'probabilidade': 9.6}, {'placar': '3 x 0', 'probabilidade': 8.0}]",2026-05-11 08:32:34,E
Alemanha,Equador,80.0,66.3,1.4431,1.1969,False,False,42.7,25.9,31.3,1 x 1,12.3,"[{'placar': '1 x 1', 'probabilidade': 12.3}, {'placar': '1 x 0', 'probabilidade': 10.3}, {'placar': '2 x 1', 'probabilidade': 8.9}, {'placar': '0 x 1', 'probabilidade': 8.5}, {'placar': '2 x 0', 'probabilidade': 7.4}]",2026-05-11 08:32:34,E
Curacao,Costa do Marfim,0.0,31.8,0.0,2.64,False,False,0.0,7.3,92.7,0 x 2,24.9,"[{'placar': '0 x 2', 'probabilidade': 24.9}, {'placar': '0 x 3', 'probabilidade': 21.9}, {'placar': '0 x 1', 'probabilidade': 18.8}, {'placar': '0 x 4', 'probabilidade': 14.4}, {'placar': '0 x 5', 'probabilidade': 7.6}]",2026-05-11 08:32:34,E
Curacao,Equador,0.0,66.3,0.0,2.64,False,False,0.0,7.3,92.7,0 x 2,24.9,"[{'placar': '0 x 2', 'probabilidade': 24.9}, {'placar': '0 x 3', 'probabilidade': 21.9}, {'placar': '0 x 1', 'probabilidade': 18.8}, {'placar': '0 x 4', 'probabilidade': 14.4}, {'placar': '0 x 5', 'probabilidade': 7.6}]",2026-05-11 08:32:34,E
